Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn,Antilocapra americana mexicana,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Bovidae,95069,180719,Active,Ammotragus lervia,Barbary Sheep or Aoudad,,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,Ovis canadensis texiana,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Cervidae,155879,-501601,Inactive,Cervus canadensis,Elk,"Cervus elaphus, Cervus elaphus nelsoni",Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,Odocoileus hemionus crooki,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,White-tailed Deer,Odocoileus virginianus carminis,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,Feral Pig,,Present
BIBE,Big Bend National Park,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,Collared Peccary,"Pecari angulatus, Tayassu tajacu, Tayassu tajacu angulatus, Dicotyles tajacu, Pecari angulatus angulatus",Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans texensis,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,Gray Wolf,Canis lupus monstrabilis,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Common Gray Fox,Urocyon cinereoargenteus scottii,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,Vulpes velox,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,"Felis rufus, Lynx rufus texensis, Lynx rufus baileyi",Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,"Felis concolor, Puma concolor stanleyana, Felis concolor stanleyana",Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mephitidae,93305,180567,Active,Conepatus leuconotus,White-backed Hog-nosed Skunk,"Conepatus mesoleucus, Conepatus mesoleucus mearnsi",Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mephitidae,93301,180563,Active,Mephitis macroura,Hooded Skunk,,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis varians,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,"Spilogale putorius latifrons, Spilogale putorius, Spilogale leucoparia",Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata neomexicana,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,Taxidea taxus berlandieri,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Procyonidae,264247,552462,Active,Nasua narica,White-nosed Coati,,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Northern Raccoon,Procyon lotor mexicanus,Present
BIBE,Big Bend National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,Ursus americanus amblyceps,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,Western Bonneted Bat,,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,"Tadarida femorosacca, Nyctinomops femorosacca",Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,"Tadarida macrotis, Tadarida molossa",Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian Free-tailed Bat,"Tadarida mexicana, Tadarida brasiliensis mexicana",Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Mormoopidae,88778,180051,Active,Mormoops megalophylla,Ghost-faced Bat,Mormoops megalophylla senicula,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Phyllostomidae,89588,180068,Active,Leptonycteris nivalis,Mexican Long-nosed Bat,,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrozous pallidus pallidus,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's Big-eared Bat,"Corynorhinus townsendii pallescens, Plecotus townsendii pallescens, Plecotus townsendii, Plecotus townsendi, Corynorhinus rafinesquii pallescens",Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,Eptesicus fuscus pallidus,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,Spotted Bat,,Present
BIBE,Big Bend National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
